shot	time	lat	lon	depth
100	94:172:23:38:58.843	40.947586	-125.755547	7.5
101	94:172:23:39:20.025	40.947525	-125.754944	7.5
102	94:172:23:39:41.235	40.947464	-125.754341	7.5
103	94:172:23:40:02.414	40.947399	-125.753738	7.5
104	94:172:23:40:23.558	40.947327	-125.753143	7.5
105	94:172:23:40:44.666	40.947285	-125.752541	7.5
106	94:172:23:41:05.733	40.947247	-125.751945	7.5
107	94:172:23:41:26.800	40.947212	-125.751335	7.5
108	94:172:23:41:47.857	40.947174	-125.750725	7.5
109	94:172:23:42:08.905	40.947132	-125.75013	7.5
110	94:172:23:42:29.944	40.94709	-125.749519	7.5
111	94:172:23:42:50.970	40.947067	-125.748909	7.5
112	94:172:23:43:11.949	40.947041	-125.748306	7.5
113	94:172:23:43:32.887	40.947006	-125.747696	7.5
114	94:172:23:43:53.764	40.946976	-125.747086	7.5
115	94:172:23:44:14.583	40.946938	-125.74649	7.5
116	94:172:23:44:35.350	40.946903	-125.745888	7.5
117	94:172:23:44:56.026	40.946869	-125.745293	7.5
118	94:172:23:45:16.683	40.946823	-125.744698	7.5
119	94:172:23:45:37.342	40.946796	-125.744095	7.5
120	94:172:23:45:58.090	40.946754	-125.7435	7.5
121	94:172:23:46:18.847	40.946716	-125.742905	7.5
122	94:172:23:46:39.677	40.946678	-125.742317	7.5
123	94:172:23:47:00.544	40.946644	-125.74173	7.5
124	94:172:23:47:21.492	40.946609	-125.741135	7.5
125	94:172:23:47:42.521	40.946552	-125.74054	7.5
126	94:172:23:48:03.644	40.946503	-125.739944	7.5
127	94:172:23:48:24.825	40.946442	-125.739349	7.5
128	94:172:23:48:46.010	40.946407	-125.738747	7.5
129	94:172:23:49:07.180	40.946373	-125.738152	7.5
130	94:172:23:49:28.325	40.94635	-125.737564	7.5
131	94:172:23:49:49.457	40.946289	-125.736984	7.5
132	94:172:23:50:10.484	40.946239	-125.736397	7.5
133	94:172:23:50:31.431	40.946182	-125.735802	7.5
134	94:172:23:50:52.347	40.946117	-125.735207	7.5
135	94:172:23:51:13.206	40.946068	-125.734612	7.5
136	94:172:23:51:34.051	40.945992	-125.734009	7.5
137	94:172:23:51:54.878	40.945908	-125.733414	7.5
138	94:172:23:52:15.756	40.945808	-125.732819	7.5
139	94:172:23:52:36.624	40.945728	-125.732239	7.5
140	94:172:23:52:57.522	40.945648	-125.731651	7.5
141	94:172:23:53:18.438	40.945545	-125.731071	7.5
142	94:172:23:53:39.348	40.945477	-125.730476	7.5
143	94:172:23:54:00.214	40.945396	-125.729889	7.5
144	94:172:23:54:21.081	40.94532	-125.729301	7.5
145	94:172:23:54:41.910	40.945251	-125.728714	7.5
146	94:172:23:55:02.706	40.945183	-125.728127	7.5
147	94:172:23:55:23.563	40.945129	-125.727539	7.5
148	94:172:23:55:44.331	40.945042	-125.726959	7.5
149	94:172:23:56:05.071	40.944962	-125.726372	7.5
150	94:172:23:56:25.787	40.94487	-125.725777	7.5
151	94:172:23:56:46.494	40.944798	-125.725182	7.5
152	94:172:23:57:07.174	40.944733	-125.724579	7.5
153	94:172:23:57:27.829	40.944672	-125.723976	7.5
154	94:172:23:57:48.457	40.944592	-125.723366	7.5
155	94:172:23:58:09.094	40.944523	-125.722771	7.5
156	94:172:23:58:29.764	40.944458	-125.722176	7.5
157	94:172:23:58:50.460	40.944378	-125.721581	7.5
158	94:172:23:59:11.199	40.944298	-125.720978	7.5
159	94:172:23:59:31.996	40.944214	-125.720375	7.5
160	94:172:23:59:52.853	40.94413	-125.71978	7.5
