#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
10561122|2017-12-06T15:19:50|30.6375|79.1854|10.0|us|NEIC PDE|us|us1000bmru|mb|5.1|us|WESTERN XIZANG-INDIA BORDER REG.
10559970|2017-12-02T23:43:45|27.3571|88.1528|10.0|us|NEIC PDE|us|us1000bkfr|mb|4.2|us|SIKKIM, INDIA
10453087|2017-11-07T19:06:41|30.245|87.4429|10.25|us|NEIC PDE|us|us2000bjyl|mb|4.6|us|XIZANG
10452444|2017-11-06T03:09:03|29.6127|81.2918|10.0|us|NEIC PDE|us|us2000bj36|mb|4.6|us|NEPAL
10411728|2017-10-06T17:44:22|30.0189|86.7671|10.0|us|NEIC PDE|us|us2000b260|mb|4.4|us|XIZANG
10395286|2017-08-22T00:50:35|29.3871|81.1558|10.0|us|NEIC PDE|us|us2000aah5|mb|4.6|us|NEPAL
10399477|2017-08-21T12:03:13|27.5881|86.1237|10.0|us|NEIC PDE|us|us2000aa5v|mb|4.5|us|NEPAL
10276116|2017-07-15T16:56:18|30.6609|82.7985|51.53|us|NEIC PDE|us|us20009wlk|mb|4.6|us|XIZANG
10276934|2017-07-15T16:35:28|28.8507|81.6418|27.7|us|NEIC PDE|us|us20009wlh|mb|4.3|us|NEPAL-INDIA BORDER REGION
10270818|2017-07-02T01:58:27|27.2357|86.1117|10.0|us|NEIC PDE|us|us100095t8|mb|4.9|us|NEPAL
10164616|2017-05-16T22:13:19|27.3266|88.1714|10.0|us|NEIC PDE|us|us10008udz|mb|4.2|us|SIKKIM, INDIA
10154953|2017-04-24T15:04:30|29.6836|81.3034|18.73|us|NEIC PDE|us|us10008kia|mb|4.3|us|NEPAL
10044241|2017-03-26T21:42:11|27.1419|88.5534|24.39|us|NEIC PDE|us|us20008uvs|mb|4.5|us|SIKKIM, INDIA
10006826|2017-03-07T10:28:57|26.9112|89.155|10.0|us|NEIC PDE|us|us100087jx|mb|3.9|us|INDIA-BANGLADESH BORDER REGION
10004460|2017-02-27T04:21:41|27.361|85.9644|17.78|us|NEIC PDE|us|us20008mlv|mb|4.6|us|NEPAL
10004453|2017-02-27T03:37:45|27.4339|86.1167|10.0|us|NEIC PDE|us|us20008mll|mb|4.7|us|NEPAL
10004374|2017-02-26T18:48:45|30.2107|83.5019|10.0|us|NEIC PDE|us|us20008mji|mb|4.7|us|XIZANG
9998661|2017-02-06T17:03:06|30.6544|79.1645|16.05|us|NEIC PDE|us|us20008hyg|Mwb|5.1|us|WESTERN XIZANG-INDIA BORDER REG.
9996996|2017-02-01T10:07:44|30.6877|83.3674|10.0|us|NEIC PDE|us|us10007wlj|mb|5.1|us|XIZANG
9951996|2017-01-04T14:12:52|30.4946|83.7309|10.0|us|NEIC PDE|us|us10007pp5|mb|4.7|us|XIZANG
5199436|2016-12-01T16:52:50|29.9884|80.6289|36.63|us|NEIC PDE|us|us10007e1x|mb|5.2|us|NEPAL-INDIA BORDER REGION
5198995|2016-11-27T23:35:21|27.8063|86.5323|10.0|us|NEIC PDE|us|us10007cuh|mb|5.4|us|NEPAL
5197464|2016-10-07T04:52:38|28.35|85.9666|10.0|us|NEIC PDE|us|us20007dve|mb|4.0||NEPAL
5195699|2016-10-01T11:36:01|30.9806|88.1037|34.62|us|NEIC PDE|us|us10006udj|mb|4.2|us|XIZANG
5193705|2016-09-18T17:14:17|27.8196|85.4746|25.2|us|NEIC PDE|us|us10006qpe|mb|4.2|us|NEPAL
5192803|2016-09-10T00:46:18|30.2163|82.6753|35.0|us|NEIC PDE|us|us10006nhy|mb|4.9|us|XIZANG
10203876|2016-09-09T09:10:51|30.3571|82.8488|35.0|us|NEIC PDE|us|us10006nn5|mb|4.3|us|XIZANG
5188281|2016-07-02T00:23:46|29.5139|81.0984|10.0|us|NEIC PDE||us10005zd7|mb|4.4|us|NEPAL
5186619|2016-06-29T09:10:28|29.5553|81.1306|9.03|us|NEIC PDE||us200067x7|mb|4.6|us|NEPAL
5189080|2016-06-27T14:53:00|28.7638|87.4704|10.0|us|NEIC PDE||us10005z6t|mb|4.7|us|XIZANG
5189148|2016-06-21T05:49:46|27.7243|84.9384|10.0|us|NEIC PDE||us200065q8|mb|3.5|us|NEPAL-INDIA BORDER REGION
5186438|2016-06-13T23:27:42|27.9339|84.4925|10.0|us|NEIC PDE||us200065ir|mb|4.1|us|NEPAL-INDIA BORDER REGION
5183974|2016-05-28T09:39:10|28.0097|85.4237|10.0|us|NEIC PDE|us|us20005ysr|mb|4.6|us|NEPAL
5186721|2016-05-26T09:29:25|28.4555|87.4821|10.0|us|NEIC PDE|us|us20005y1t|mb|4.0|us|XIZANG
5183554|2016-05-23T19:09:52|27.704|85.0896|10.0|us|NEIC PDE|us|us10005jdi|mb|4.3|us|NEPAL
5183739|2016-05-23T18:09:03|28.4178|87.4903|10.0|us|NEIC PDE|us|us10005jcy|mb|4.2|us|XIZANG
5183426|2016-05-22T04:49:45|28.5599|87.5853|11.05|us|NEIC PDE|us|us10005j6t|mb|4.3|us|XIZANG
5185587|2016-05-22T02:55:42|28.3854|87.3554|10.0|us|NEIC PDE|us|us10005j6l|mb|4.0|us|XIZANG
5183412|2016-05-22T02:05:54|28.5654|87.4796|4.44|us|NEIC PDE|us|us10005j6d|mb|5.1|us|XIZANG
5183410|2016-05-22T01:48:48|28.4538|87.5326|9.36|us,gcmt|NEIC PDE|us|us10005j6b,gcmt20160522014848|mwc|5.4|gcmt|XIZANG
5185671|2016-05-22T01:46:09|28.2457|87.2227|10.37|us|NEIC PDE|us|us20005yj5|mb|4.0|us|XIZANG
5183409|2016-05-22T01:32:31|28.4767|87.5067|6.99|us|NEIC PDE|us|us10005j69|mb|4.5|us|XIZANG
5186062|2016-05-21T07:59:00|28.2817|87.3528|10.0|us|NEIC PDE|us|us10005j3y|mb|4.0|us|XIZANG
5182775|2016-05-14T22:45:55|27.8608|85.3631|22.11|us|NEIC PDE|us|us10005hgq|mb|4.4|us|NEPAL
5183871|2016-05-13T23:20:59|27.958|85.5191|10.0|us|NEIC PDE|us|us10005ivg|mb|4.0|us|NEPAL
5185621|2016-05-11T08:52:47|28.0545|84.5639|15.99|us|NEIC PDE|us|us10005ggl|mb|4.5|us|NEPAL
5183570|2016-05-11T01:19:42|27.9448|84.9277|10.23|us|NEIC PDE|us|us10005ihi|mb|4.5|us|NEPAL-INDIA BORDER REGION
5185612|2016-05-09T05:17:54|28.21|85.7631|39.31|us|NEIC PDE|us|us10005i7d|mb|4.2|us|NEPAL
5184153|2016-05-03T16:31:51|29.6379|87.9346|25.81|us|NEIC PDE|us|us10005gkb|mb|4.1|us|XIZANG
5180443|2016-04-19T17:22:17|28.3381|87.8381|55.92|us|NEIC PDE|us|us20005jvf|mb|4.3|us|XIZANG
5182387|2016-04-16T04:33:03|28.3437|87.4392|10.0|us|NEIC PDE|us|us20005ixu|mb|4.1|us|XIZANG
5179696|2016-04-12T14:41:52|27.6062|86.0621|10.0|us|NEIC PDE|us|us20005heg|mb|4.3|us|NEPAL
5179567|2016-04-09T13:20:13|27.6354|85.3002|10.22|us|NEIC PDE|us|us20005gv0|mb|4.1|us|NEPAL
5178936|2016-04-04T04:31:26|27.5381|85.8383|23.69|us|NEIC PDE|us|us20005eeq|mb|4.2|us|NEPAL
5181194|2016-03-30T12:26:40|27.8164|85.5483|10.0|us|NEIC PDE||us20005flx|mb|4.1|us|NEPAL
5177220|2016-03-14T21:27:35|27.7234|85.534|27.09|us|NEIC PDE||us10004xlm|mb|4.3|us|NEPAL
5179460|2016-03-13T05:15:33|27.8303|84.8208|10.0|us|NEIC PDE||us20005af9|mb|4.4|us|NEPAL-INDIA BORDER REGION
5177137|2016-03-12T16:15:12|26.7746|89.092|14.88|us|NEIC PDE||us10004x93|mb|3.9|us|INDIA-BANGLADESH BORDER REGION
5175303|2016-02-24T09:22:16|27.8205|85.7593|10.0|us|NEIC PDE|us|us10004sb7|mb|4.7|us|NEPAL
5175019|2016-02-21T18:10:01|28.0107|84.7447|19.24|us|NEIC PDE|us|us10004rjm|mb|5.0|us|NEPAL
5174520|2016-02-13T21:37:54|27.0268|89.1875|50.32|us|NEIC PDE|us|us200050r7|mb|3.7||BHUTAN
5173990|2016-02-10T16:27:41|27.7118|85.6292|21.15|us|NEIC PDE|us|us20004zdq|mb|4.1|us|NEPAL
5173797|2016-02-09T02:29:02|30.6371|86.123|40.24|us|NEIC PDE|us|us20004yx3|mb|4.6|us|XIZANG
5173523|2016-02-05T16:20:11|27.8396|85.2486|25.95|us|NEIC PDE|us|us20004y4t|mb|5.2|us|NEPAL
5176224|2016-01-31T04:39:48|29.6353|84.2685|10.0|us|NEIC PDE|us|us20004x1e|mb|4.1||XIZANG
5172919|2016-01-31T04:18:25|29.6132|84.214|10.0|us|NEIC PDE|us|us20004w3p|mb|4.2|us|XIZANG
5176029|2016-01-28T09:36:03|29.4663|87.9565|10.0|us|NEIC PDE|us|us20004v9s|mb|4.1||XIZANG
5175099|2016-01-26T16:57:30|29.5248|87.8553|24.65|us|NEIC PDE|us|us20004vlf|mb|4.2|us|XIZANG
5171844|2016-01-21T19:22:43|28.0269|85.0515|19.01|us|NEIC PDE|us|us10004g5f|mb|4.5|us|NEPAL
5174194|2016-01-14T00:03:52|29.4873|87.8145|10.0|us|NEIC PDE|us|us10004ea1|mb|4.1|us|XIZANG
5174167|2016-01-13T23:15:46|29.7043|88.0054|10.0|us|NEIC PDE|us|us10004e9s|mb|4.4|us|XIZANG
5172586|2015-12-26T04:48:40|29.1913|81.42|10.0|us|NEIC PDE|us|us10004bh1|mb|4.1|us|NEPAL
5168672|2015-12-18T22:16:56|29.3985|81.6541|10.0|us|NEIC PDE|us|us1000488j|mb|5.4|us|NEPAL
5170411|2015-11-29T02:47:52|31.373|78.7325|35.0|us|NEIC PDE|us|us100041zf|mb|4.1|us|WESTERN XIZANG-INDIA BORDER REG.
5170120|2015-11-25T05:02:06|29.6929|89.8692|77.42|us|NEIC PDE|us|us1000415j|mb|4.7|us|XIZANG
5174517|2015-11-24T12:24:15|28.1552|84.7587|8.19|us|NEIC PDE|us|us100040q1|mb|4.6|us|NEPAL
5165569|2015-11-19T04:15:52|27.8525|85.6776|16.51|us|NEIC PDE|us|us10003zfw|mb|5.0|us|NEPAL
5162371|2015-10-12T15:39:07|28.9796|86.3729|10.0|us|NEIC PDE|us|us10003n1q|mb|4.5|us|XIZANG
5161536|2015-10-10T01:48:45|27.2548|88.8009|48.22|us|NEIC PDE|us|us10003mmv|mb|4.3|us|SIKKIM, INDIA
5161611|2015-10-09T20:29:56|28.8544|86.469|10.0|us|NEIC PDE|us|us10003mkt|mb|4.9|us|XIZANG
5165048|2015-10-09T01:01:21|28.8999|86.3397|10.0|us|NEIC PDE|us|us10003p4v|mb|4.0|us|XIZANG
5165266|2015-10-07T04:58:20|27.8771|84.8817|34.7|us|NEIC PDE|us|us10003nv4|mb|4.2|us|NEPAL-INDIA BORDER REGION
5163351|2015-10-06T23:30:29|27.6712|85.9838|14.04|us|NEIC PDE|us|us10003ntw|mb|4.3|us|NEPAL
5164918|2015-10-06T12:02:40|27.7479|86.1479|10.0|us|NEIC PDE|us|us10003ntk|mb|4.0|us|NEPAL
5164774|2015-10-05T16:18:02|31.4974|86.4956|10.0|us|NEIC PDE|us|us10003nl9|mb|4.5|us|XIZANG
5164908|2015-10-05T07:36:25|27.7703|86.1587|10.0|us|NEIC PDE|us|us10003nky|mb|4.3|us|NEPAL
5161086|2015-10-05T07:33:21|27.6395|86.0343|10.0|us|NEIC PDE|us|us10003kcl|mb|4.5|us|NEPAL
5160397|2015-09-29T10:54:42|27.7769|85.8162|10.0|us|NEIC PDE|us|us10003ir8|mb|4.4|us|NEPAL
5160389|2015-09-29T09:27:17|29.996|80.3737|35.0|us|NEIC PDE|us|us10003iqz|mb|4.6|us|NEPAL-INDIA BORDER REGION
5159791|2015-09-22T06:32:45|27.6915|85.0633|10.0|us|NEIC PDE|us|us20003ms7|mb|4.4|us|NEPAL
5162693|2015-09-16T14:52:12|27.5875|86.1894|7.48|us|NEIC PDE|us|us10003isb|mb|4.2|us|NEPAL
5161065|2015-09-11T23:56:59|26.0549|89.5568|18.5|us|NEIC PDE|us|us20003n08|mb|4.0|us|INDIA-BANGLADESH BORDER REGION
5157378|2015-09-01T23:06:40|27.6836|86.2819|16.02|us|NEIC PDE|us|us20003fjs|mb|4.1|us|NEPAL
5157041|2015-08-30T13:17:34|27.6519|85.6673|10.0|us|NEIC PDE|us|us1000365l|mb|4.5|us|NEPAL
5156964|2015-08-28T19:21:58|25.432|89.5164|13.7|us|NEIC PDE|us|us100035vn|mb|4.2|us|INDIA-BANGLADESH BORDER REGION
5160606|2015-08-24T06:53:44|28.3466|87.2202|10.53|us|NEIC PDE|us|us20003ha9|mb|4.0|us|XIZANG
5156350|2015-08-23T09:02:05|27.8355|86.0795|10.0|us|NEIC PDE|us|us100034be|mb|5.0|us|NEPAL
5155794|2015-08-17T22:23:57|27.9066|86.1322|10.44|us|NEIC PDE|us|us1000330x|mb|4.2|us|NEPAL
5155647|2015-08-15T18:11:39|27.7023|85.9473|10.0|us|NEIC PDE|us|us100032lr|mb|4.7|us|NEPAL
5158558|2015-08-15T05:42:20|27.3759|87.8566|10.0|us|NEIC PDE|us|us100032ju|mb|4.4|us|NEPAL
5159452|2015-08-14T13:02:26|27.5691|86.086|10.0|us|NEIC PDE|us|us100036bf|mb|4.6|us|NEPAL
5155175|2015-08-11T04:57:40|27.6651|85.3301|2.64|us|NEIC PDE|us|us1000311d|mb|3.7|us|NEPAL
5155088|2015-08-09T22:30:26|28.2257|84.8043|10.0|us|NEIC PDE|us|us100030nd|mb|4.2|us|NEPAL
5158060|2015-08-05T19:15:56|30.3652|80.3368|10.0|us|NEIC PDE|us|us10002y84|mb|4.1|us|WESTERN XIZANG-INDIA BORDER REG.
5156197|2015-08-01T12:14:28|28.7475|87.6636|34.28|us|NEIC PDE|us|us10002x46|mb|4.4|us|XIZANG
5156315|2015-08-01T01:37:42|28.532|85.6808|10.0|us|NEIC PDE|us|us10002x1k|mb|4.0|us|NEPAL
5153392|2015-07-22T16:29:47|27.7012|85.2824|14.54|us|NEIC PDE|us|us20002z9c|mb|3.9|us|NEPAL
5153080|2015-07-18T23:48:08|30.4476|79.1538|10.0|us|NEIC PDE|us|us20002ygc|mb|4.4|us|WESTERN XIZANG-INDIA BORDER REG.
5150691|2015-07-10T21:13:01|27.7297|86.0836|10.0|us|NEIC PDE|us|us20002wnl|mb|4.2|us|NEPAL
5155405|2015-07-07T09:31:41|29.6068|81.733|10.0|us|NEIC PDE|us|us200030f8|mb|4.2|us|NEPAL
5150475|2015-07-06T15:29:07|27.9368|85.6886|10.0|us|NEIC PDE|us|us20002vji|mb|4.2|us|NEPAL
5150398|2015-07-03T20:04:07|27.7236|84.9064|3.36|us|NEIC PDE|us|us10002nbj|mb|4.5|us|NEPAL-INDIA BORDER REGION
5150278|2015-07-02T01:56:11|27.9835|85.5714|10.0|us|NEIC PDE|us|us10002mxq|mb|4.2|us|NEPAL
5150190|2015-06-29T21:46:23|27.4724|85.7525|10.0|us|NEIC PDE|us|us10002mfm|mb|4.3|us|NEPAL
5150188|2015-06-29T17:42:43|28.003|85.6279|10.0|us|NEIC PDE|us|us10002mfa|mb|4.0|us|NEPAL
5150148|2015-06-28T23:57:15|28.0316|86.056|10.0|us|NEIC PDE|us|us10002m90|mb|4.7|us|XIZANG
5149999|2015-06-25T15:22:19|27.8139|85.3302|10.0|us|NEIC PDE|us|us10002lnq|mb|3.7|us|NEPAL
5154180|2015-06-22T07:34:31|27.5413|85.9898|10.0|us|NEIC PDE|us|us20002w0e|mb|4.3|us|NEPAL
5153358|2015-06-21T13:41:47|27.8059|86.0295|10.0|us|NEIC PDE|us|us10002np2|mb|4.1|us|NEPAL
5149788|2015-06-20T12:23:05|28.5523|82.6319|10.0|us|NEIC PDE|us|us10002khh|mb|4.7|us|NEPAL
5149630|2015-06-17T02:15:14|28.2774|85.8766|10.0|us|NEIC PDE|us|us20002qjl|mb|4.3|us|NEPAL
5149628|2015-06-17T00:29:59|27.9426|85.4981|10.0|us|NEIC PDE|us|us20002qj4|mb|4.3|us|NEPAL
5151222|2015-06-17T00:13:20|27.7381|85.2944|5.7|us|NEIC PDE|us|us20002qj3|mb|4.0|us|NEPAL
5153031|2015-06-14T07:47:46|28.1763|85.7529|10.0|us|NEIC PDE|us|us10002lx6|mb|4.1|us|NEPAL
5149453|2015-06-13T01:18:30|27.6326|86.0709|10.0|us|NEIC PDE|us|us20002pk4|mb|4.8|us|NEPAL
5151314|2015-06-12T04:34:10|27.7705|86.0379|10.0|us|NEIC PDE|us|us10002ld5|mb|4.0|us|NEPAL
5149397|2015-06-11T19:37:06|28.115|84.6937|10.32|us|NEIC PDE|us|us20002p53|mb|4.4|us|NEPAL
5149375|2015-06-11T16:12:20|27.8321|85.5836|24.49|us|NEIC PDE|us|us20002p1y|mb|4.8|us|NEPAL
5153228|2015-06-11T04:17:46|27.8955|85.7959|10.0|us|NEIC PDE|us|us10002l5z|mb|4.2|us|NEPAL
