Station Code	Latitude	Longitude
L13A	42.0886	-113.944397	
L14A	42.034302	-113.239799	
L15A	42.004101	-112.386002	
L16A	42.0149	-111.4319	
L17A	42.099499	-110.872704	
L18A	41.924301	-110.0364	
M14A	41.502998	-113.347099	
M15A	41.4632	-112.447701	
M16A	41.314602	-111.629799	
M17A	41.4729	-110.666397	
M18A	41.4272	-110.067398	
N14A	40.851299	-113.186699	
N15A	40.890301	-112.520103	
N16A	40.886902	-111.436996	
N17A	40.942501	-110.833504	
N18A	40.976299	-109.673103	
N19A	40.8936	-109.1772	
O13A	40.131401	-113.9814	
O15A	40.280701	-112.469398	
O16A	40.206699	-111.502403	
O17A	40.194801	-110.737801	
O18A	40.265499	-110.008202	
O19A	40.298199	-109.123596	
P14A	39.590599	-113.068703	
P15A	39.570801	-112.278603	
P16A	39.6092	-111.6595	
P17A	39.473	-110.739998	
P18A	39.627899	-110.245697	
P19A	39.633301	-108.981201	
Q14A	38.988201	-113.276901	
Q15A	38.9995	-112.379303	
Q16A	38.917599	-111.1716	
Q18A	39.102501	-110.132797	
Q19A	38.955299	-109.263	
R13A	38.180199	-113.969101	
R14A	38.298698	-113.021301	
R15A	38.2108	-112.276703	
R16A	38.284302	-111.482697	
R17A	38.418701	-110.710899	
R18A	38.3862	-109.894203	
R19A	38.291599	-109.260696	
S13A	37.580799	-113.860397	
S14A	37.760101	-113.168404	
S15A	37.676102	-112.362701	
S16A	37.722198	-111.5961	
S17A	37.635399	-110.801804	
S18A	37.6903	-109.994797	
S19A	37.745899	-109.136597	
T13A	37.019501	-113.907303	
T14A	37.061501	-113.084	
T15A	37.018299	-112.382401	
T16A	36.983898	-111.505997	
T17A	36.996899	-110.8041	
T18A	37.136398	-109.8741	
T19A	36.829899	-109.024902	
U13A	36.4151	-113.965302	
U14A	36.418201	-113.180496	
U15A	36.428001	-112.291496	
U16A	36.142799	-111.1297	
U17A	36.599602	-110.662399	
U18A	36.419899	-109.869598	
U19A	36.2925	-109.207603	
U20A	36.375801	-108.520401	
