time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type	horizontalError	depthError	magError	magNst	status	locationSource	magSource	TP
2000-06-04T16:28:26.170Z	-4.721	102.087	33	7.9	mwc	379			1.1	us	usp0009txv	2017-11-07T16:22:41.113Z	"southern Sumatra, Indonesia"	earthquake					reviewed	us	hrv	3
2002-11-03T22:12:41.000Z	63.517	-147.444	4.9	7.9	mwc	771				us	usp000bg0m	2017-11-07T18:38:14.751Z	Central Alaska	earthquake					reviewed	aeic	hrv	3
2010-08-04T22:01:43.620Z	-5.746	150.765	44	7	mww	396	12.7		1.19	us	usp000hhhx	2017-11-13T19:17:36.970Z	"New Britain region, Papua New Guinea"	earthquake					reviewed	us	us	3
2012-01-10T18:36:59.080Z	2.433	93.21	19	7.2	mww	443	17		1.09	us	usp000jdar	2017-11-14T14:36:39.970Z	off the west coast of northern Sumatra	earthquake					reviewed	us	us	3
2016-04-16T23:58:36.980Z	0.3819	-79.9218	20.59	7.8	mww		15	1.44	0.94	us	us20005j32	2018-03-02T20:33:50.408Z	"27km SSE of Muisne, Ecuador"	earthquake	5.7	3.2			reviewed	us	us	3
2003-01-20T08:43:06.070Z	-10.491	160.77	33	7.3	mwc	457			0.84	us	usp000bnvq	2017-11-07T18:39:54.152Z	Solomon Islands	earthquake					reviewed	us	hrv	2
2003-08-04T04:37:20.130Z	-60.532	-43.411	10	7.6	mwc	315	25.2		1.09	us	usp000c41f	2017-11-08T17:48:47.786Z	Scotia Sea	earthquake					reviewed	us	hrv	2
2011-01-01T09:56:58.120Z	-26.803	-63.136	576.8	7	mww	607	18.4		0.85	us	usp000hsdc	2017-11-13T19:43:03.438Z	"Santiago Del Estero, Argentina"	earthquake					reviewed	us	us	2
2012-03-20T18:02:47.440Z	16.493	-98.231	20	7.4	mww	672	37.9		0.98	us	usp000jghj	2017-11-14T14:38:51.309Z	"Oaxaca, Mexico"	earthquake					reviewed	us	us	2
2014-04-03T02:43:13.110Z	-20.5709	-70.4931	22.4	7.7	mww		44	1.029	0.82	us	usc000p27i	2017-11-14T15:54:38.514Z	"53km SW of Iquique, Chile"	earthquake		3.4			reviewed	us	us	2
2014-11-15T02:31:41.720Z	1.8929	126.5217	45	7.1	mww		18	1.397	0.71	us	usc000sxh8	2017-11-14T16:09:36.003Z	"154km NW of Kota Ternate, Indonesia"	earthquake	5.8	1.7			reviewed	us	us	2
2015-12-07T07:50:05.950Z	38.2107	72.7797	22	7.2	mww		18	1.116	0.94	us	us100044k6	2017-11-14T17:09:18.280Z	"104km W of Murghob, Tajikistan"	earthquake	5.5	1.7			reviewed	us	us	2
2017-07-17T23:34:13.740Z	54.4434	168.857	10	7.7	mww		13	3.564	0.68	us	us20009x42	2017-10-11T01:03:51.040Z	"202km ESE of Nikol'skoye, Russia"	earthquake	7	1.8	0.036	73	reviewed	us	us	2
2000-03-28T11:00:22.510Z	22.338	143.73	126.5	7.6	mwc				1.22	us	usp0009qb4	2017-11-07T16:18:38.818Z	"Volcano Islands, Japan region"	earthquake					reviewed	us	hrv	1
2000-05-12T18:43:18.120Z	-23.548	-66.452	225	7.2	mwc				0.86	us	usp0009suu	2017-11-07T16:21:24.397Z	"Jujuy, Argentina"	earthquake		4.6			reviewed	us	hrv	1
2001-01-09T16:49:28.000Z	-14.928	167.17	103	7.1	mwb	372			1.15	us	usp000a7cv	2017-11-07T16:41:50.772Z	Vanuatu	earthquake					reviewed	us	us	1
2001-02-24T07:23:48.730Z	1.271	126.249	35	7.1	mwc	426			1.05	us	usp000aa8b	2017-11-07T16:53:15.732Z	Molucca Sea	earthquake					reviewed	us	hrv	1
2001-07-07T09:38:43.520Z	-17.543	-72.077	33	7.6	mwc	398			1.15	us	usp000aj40	2017-11-07T18:19:18.597Z	near the coast of southern Peru	earthquake					reviewed	us	hrv	1
2002-04-26T16:06:07.000Z	13.088	144.619	85.7	7.1	mwc	257			1.04	us	usp000b37m	2017-11-07T18:30:58.300Z	Guam region	earthquake		3.3			reviewed	us	hrv	1
2002-08-19T11:01:01.190Z	-21.696	-179.513	580	7.7	mwc	670			0.93	us	usp000ba6g	2017-11-07T18:33:30.582Z	Fiji region	earthquake					reviewed	us	hrv	1
2002-08-19T11:08:24.310Z	-23.884	178.495	675.4	7.7	mwc	302			1.08	us	usp000ba6m	2017-11-07T18:34:30.509Z	south of the Fiji Islands	earthquake					reviewed	us	hrv	1
2002-09-08T18:44:23.710Z	-3.302	142.945	13	7.6	mwc	428			1.16	us	usp000bbpf	2017-11-07T18:35:08.098Z	"near the north coast of New Guinea, Papua New Guinea"	earthquake					reviewed	us	hrv	1
2002-11-17T04:53:53.540Z	47.824	146.209	459.1	7.3	mwc	326			1.02	us	usp000bhv1	2017-11-07T18:39:09.074Z	northwest of the Kuril Islands	earthquake					reviewed	us	hrv	1
2003-09-25T19:50:06.360Z	41.815	143.91	27	8.3	mwc	669	27.4		0.88	us	usp000c8kv	2017-11-08T17:50:43.110Z	"Hokkaido, Japan region"	earthquake					reviewed	us	hrv	1
2003-09-25T21:08:00.030Z	41.774	143.593	33	7.4	mwc	514	78.8		1.02	us	usp000c8mb	2017-11-08T17:51:45.307Z	"Hokkaido, Japan region"	earthquake					reviewed	us	hrv	1
2003-11-17T06:43:06.800Z	51.146	178.65	33	7.8	mwc	604	24		1.11	us	usp000cd1n	2017-11-08T17:55:34.626Z	"Rat Islands, Aleutian Islands, Alaska"	earthquake					reviewed	us	hrv	1
2004-10-09T21:26:53.690Z	11.422	-86.665	35	7	mwc	441	32.2		1.1	us	usp000d63h	2017-11-08T18:05:23.903Z	near the coast of Nicaragua	earthquake					reviewed	us	hrv	1
2004-11-22T20:26:23.900Z	-46.676	164.721	10	7.1	mwc	585	14.7		1.13	us	usp000d8ze	2017-11-08T18:11:27.612Z	off the west coast of the South Island of New Zealand	earthquake					reviewed	us	hrv	1
2004-12-26T00:58:53.450Z	3.295	95.982	30	9.1	mw	601	22		1.17	official	official20041226005853450_30	2017-11-08T18:19:08.120Z	off the west coast of northern Sumatra	earthquake					reviewed	us	official	1
2004-12-26T04:21:29.810Z	6.91	92.958	39.2	7.2	mwc	385	27.9		1	us	usp000dbg6	2017-11-08T18:24:23.889Z	"Nicobar Islands, India region"	earthquake		7.6			reviewed	us	hrv	1
2005-09-09T07:26:43.730Z	-4.539	153.474	90	7.6	mwc	502	20		1.04	us	usp000dz2j	2017-11-08T18:32:09.215Z	"New Ireland region, Papua New Guinea"	earthquake					reviewed	us	hrv	1
2005-09-26T01:55:37.670Z	-5.678	-76.398	115	7.5	mwb	696	26.2		0.88	us	usp000e09h	2017-11-08T18:33:39.719Z	northern Peru	earthquake					reviewed	us	us	1
2006-01-27T16:58:53.670Z	-5.473	128.131	397	7.6	mwc	560	22.3		0.88	us	usp000e8ys	2017-11-08T18:38:50.089Z	Banda Sea	earthquake					reviewed	us	hrv	1
2006-12-26T12:26:21.140Z	21.799	120.547	10	7.1	mwb	744	29.1		1	us	usp000f114	2017-11-13T17:24:00.602Z	Taiwan region	earthquake					reviewed	us	us	1
2007-01-21T11:27:45.060Z	1.065	126.282	22	7.5	mwc	570	21.6		1.22	us	usp000f34b	2017-11-13T17:25:16.939Z	Molucca Sea	earthquake					reviewed	us	gcmt	1
