Station Code	Latitude	Longitude
AIUT	40.855831	-112.175499	
ALP	40.454418	-111.776901	
ALT	40.590279	-111.637497	
AMF	40.401989	-111.788017	
ANU	41.039669	-112.231667	
ARGU	39.822834	-110.543671	
ARUT	37.787998	-113.440331	
ASI5	42.477531	-111.369278	
ASI6	42.4767	-111.3694	
ASU1	37.799702	-112.107399	
ASU2	37.753799	-112.2136	
ASU3	38.2542	-112.318298	
AVE	40.774441	-111.862778	
BBU	40.745499	-112.011169	
BCE	39.613098	-110.408401	
BCS	41.511799	-112.032997	
BCU	41.512379	-111.982193	
BCW	39.730301	-110.7425	
BDU	40.874168	-111.533997	
BEI	42.116661	-111.782333	
BES	41.318321	-111.954323	
BGU	40.92083	-113.029831	
BGU1	40.920399	-113.030899	
BGU2	40.9207	-113.030098	
BGU3	40.9203	-113.029297	
BGU4	40.921501	-113.0299	
BGVA	36.964161	-113.560997	
BHDU	37.004669	-113.458	
BHU	37.593899	-112.862099	
BHUT	38.276798	-112.640404	
BKU	38.535172	-113.126831	
BLGU	37.206001	-113.587669	
BMUT	41.958172	-111.234169	
BRO	40.623001	-111.87867	
BRP1	39.472698	-110.740898	
BRP2	39.473801	-110.740501	
BRP3	39.4729	-110.739098	
BRP4	39.473	-110.739998	
BRPU	39.473	-110.739998	
BSS	40.624199	-111.822403	
BSUT	40.536499	-110.7612	
BTU	37.755661	-111.874336	
BYP	40.771111	-111.887222	
BYU	40.253101	-111.649101	
CAPU	40.77845	-111.889969	
CCPU	37.666599	-113.088203	
CCU	37.675331	-113.068497	
CCU2	37.681332	-113.088333	
CCUT	37.550598	-113.362701	
CDCU	41.505001	-112.176826	
CFS	40.565701	-112.093498	
CFU	38.618832	-112.538673	
CHS	40.594719	-112.01722	
CM1	39.466484	-111.234734	
CM2	39.468868	-111.217651	
CM3	39.446266	-111.214371	
CM4	39.508816	-111.261398	
CM5	39.4674	-111.148331	
CMU	39.171329	-110.619331	
COY	40.659328	-112.238998	
CPU	40.672329	-112.196327	
CRLU	38.291599	-109.260696	
CTU	40.692501	-111.750343	
CVH	37.715099	-113.064102	
CVRU	38.917599	-111.1716	
CWR	41.581669	-111.781502	
CWU	40.445839	-112.102173	
DAU	40.412498	-111.255836	
DBD	39.313671	-111.092499	
DCM	39.695	-110.583344	
DCU	40.41367	-111.526833	
DOT	40.726669	-111.960831	
DUG	40.195	-112.813332	
DWU	38.105339	-112.997498	
EKU	37.074669	-112.496834	
ELE	41.080551	-111.918053	
ELU	39.640171	-111.203827	
EMF	40.281502	-111.998657	
EMU	39.813999	-110.815331	
EOCU	40.777	-111.899101	
EPU	41.391499	-112.408836	
ERUT	41.181499	-113.208504	
ETU	40.477329	-111.844498	
ETW	41.669449	-112.14222	
FDU	39.756828	-110.989998	
FLU	39.37817	-112.171501	
FLUT	39.099998	-110.838837	
FMC	41.408119	-109.777939	
FOR1	38.3689	-113.093803	
FOR2	38.494999	-112.872299	
FOR3	38.513302	-112.880898	
FOR4	38.4986	-112.8965	
FORU	38.458801	-112.861397	
FPU	41.026329	-111.83683	
FSU	39.7225	-113.391327	
FTT	40.686111	-112.083344	
GAS	40.769718	-111.906937	
GMO	40.600552	-112.474716	
GMU	40.5755	-111.763168	
GMV	40.573292	-111.763184	
GRD	40.598339	-111.925827	
GVUT	41.00383	-113.074669	
GZU	41.425499	-111.974998	
HAFB	41.117901	-111.975899	
HCO	40.667961	-111.823082	
HCSU	40.206699	-111.502403	
HDU	41.804501	-111.764832	
HEB	40.501499	-111.335831	
HER	40.515701	-112.030899	
HES	41.164829	-112.121681	
HFSU	40.6702	-111.825699	
HHS	37.173801	-113.2957	
HLJ	40.6105	-111.400673	
HMU	37.938	-110.741798	
HON	41.616001	-112.050827	
HONU	41.615002	-112.050003	
HRBU	37.203831	-113.380836	
HRU	40.794498	-111.885674	
HRUT	41.227169	-113.080833	
HTU	40.67453	-111.220749	
HVU	41.779671	-112.775002	
IAE	37.6651	-113.066704	
ICF	40.778	-112.028099	
ICU	37.149948	-113.925262	
IMU	38.633171	-113.158333	
JLU	40.601952	-111.449951	
JRP	40.8256	-111.944298	
JVW	40.6325	-111.907784	
KCUT	40.727661	-112.07283	
KDUT	41.721329	-112.029167	
KEUT	37.050098	-112.529297	
KLJ	40.630829	-111.404999	
KNB	37.016602	-112.821999	
LBUT	41.309669	-111.731667	
LCMT	37.011799	-113.243896	
LCU	40.573502	-111.7985	
LDJ	40.581501	-111.408669	
LEVU	39.5065	-111.814667	
LGC	40.9006	-111.908501	
LHUT	40.891418	-110.996353	
LIUT	39.424099	-110.325104	
LKC	40.726952	-112.035881	
LMU	40.315079	-111.931976	
LMUT	40.261501	-111.9282	
LRG	41.713612	-111.851387	
LSU	40.132252	-111.730103	
LSUT	41.68483	-111.557503	
LTU	41.591839	-112.247169	
LVU	39.491661	-111.826668	
MAB	40.129829	-111.577843	
MBUT	38.533401	-109.509903	
MCU	41.46167	-111.5075	
MGCU	38.574299	-109.548203	
MGU	40.681499	-111.918167	
MGU2	40.681499	-111.918167	
MHD	40.660671	-111.800827	
MHS	38.398945	-113.01432	
MID	40.51733	-112.254669	
MLI	42.026829	-112.125504	
MMU	38.198502	-111.294327	
MOR	41.046169	-111.665657	
MOUT	41.199001	-111.87883	
MPU	40.015499	-111.633331	
MSU	38.512329	-112.17717	
MTPU	38.0415	-112.184303	
MTUT	41.670898	-112.455101	
NAI	41.016171	-112.227997	
NAIU	41.016171	-112.227997	
NFUT	41.187672	-113.332169	
NLU	39.95483	-112.074997	
NMU	38.516499	-112.849998	
NOQ	40.6525	-112.120331	
NOQ1	40.652828	-112.118843	
NOQ2	40.6525	-112.120331	
NOQ3	40.652599	-112.118614	
NOQ4	40.652718	-112.120468	
NOQ5	40.653648	-112.119301	
NOQ6	40.65295	-112.11953	
NPI	42.147339	-112.518333	
OCP	40.298	-111.690697	
OF2	41.228298	-111.9487	
OPS	41.228668	-111.97567	
OPUT	39.067829	-110.953499	
OSS	40.5653	-112.028801	
OWUT	38.779999	-111.423668	
PCCW	42.099499	-110.872704	
PCL	41.311001	-112.099998	
PCR	40.65435	-111.503319	
PEUT	38.775902	-112.0886	
PGC	40.378632	-111.710243	
PKCU	37.443901	-112.310997	
PNSU	39.627899	-110.245697	
PSU1	38.533199	-113.855499	
PSU2	38.534401	-113.855103	
PSU3	38.533401	-113.853798	
PSU4	38.533699	-113.854698	
PSUT	38.533699	-113.854698	
PTU	41.929329	-112.324669	
QBHW	40.503799	-111.855904	
QBNA	40.356998	-111.965202	
QCSP	40.545799	-112.276001	
QCWC	40.7257	-111.832298	
QDPS	40.759998	-111.841003	
QFTG	40.173698	-111.601997	
QJMH	40.703499	-111.866096	
QJOT	40.7416	-111.493896	
QKSL	40.377102	-111.861	
QKSL2	40.366299	-111.834503	
QLIN	40.347198	-111.694702	
QMDS	40.729	-111.816101	
QNRL	41.7407	-111.824898	
QOGD	41.2896	-111.951897	
QPAY	40.053001	-111.728401	
QPML	40.0578	-111.953903	
QRJG	40.260899	-111.632698	
QSAR	40.2911	-111.8825	
QSAR2	40.336201	-111.923897	
QSPA	40.1031	-111.672997	
QSTV	40.670799	-112.0364	
QSUN	41.133999	-112.032799	
QUGS	40.7742	-111.938698	
QVOL	37.261299	-113.602402	
RBU	40.78083	-111.808327	
RBU2	40.78083	-111.808327	
RCJ	40.658501	-111.439331	
RDMU	40.570801	-109.569504	
REUT	37.097599	-113.519302	
RIV	40.519119	-111.934357	
RLUT	39.152168	-110.818657	
ROA	39.661499	-110.36467	
RPF	40.775314	-111.920258	
RRCU	40.886902	-111.436996	
RSUT	41.6385	-111.431664	
RVUT	41.838329	-112.259163	
SAIU	40.854832	-112.181503	
SAU	40.819672	-112.072998	
SCC	40.67487	-111.939499	
SCS	41.095482	-112.046768	
SCUT	37.128201	-113.644699	
SCY	40.057789	-111.685547	
SGSU	37.047401	-113.6064	
SGU	39.182331	-111.644669	
SHUT	41.73	-111.685501	
SJF	40.55611	-111.938889	
SKYM	39.688171	-111.210503	
SLC	40.766171	-111.847656	
SLC2	40.763828	-111.847832	
SNO	39.319672	-111.538834	
SNQU	39.79467	-111.902496	
SNU	40.923828	-112.510002	
SNUT	40.88567	-112.509003	
SOQ	40.265499	-112.180656	
SPR	40.18317	-111.611313	
SPS	40.649502	-112.315826	
SPU	41.30867	-112.449173	
SRSU	39.166168	-110.555496	
SRU	39.110828	-110.523827	
