lat	lon	mag	iwa	month	day	year	hour	min	sec	depth	ipd	no	gap	dmn	rms	erh	erz		TP
44.7515	-110.784	2.04	1	1	1	2000	1	10	19.63	5.87	0	17	69	6.7	0.3	0.9	1		3
44.7518	-110.784	1.59	1	1	1	2000	1	12	29.21	5.6	0	17	71	6.6	0.33	0.8	1		3
44.7887	-110.754	0.64	0	1	1	2000	1	27	46.68	5.96	0	7	234	7.6	0.38	3.4	2		3
44.7703	-110.763	0.21	0	1	1	2000	1	52	39.67	1.55	0	6	207	7.2	0.38	2.8	46.2		3
36.8893	-114.008	2.45	0	1	1	2000	2	59	59.93	2.71	1	5	293	29.9	0.23	15.5	2.7		3
44.9207	-110.679	-0.09	0	1	1	2000	6	18	1.09	3.61	1	5	295	20	0.26	16.6	7.6		3
44.7565	-110.78	1.12	0	1	1	2000	6	43	0.36	5.55	0	13	87	6.6	0.35	1	1.4		3
44.7895	-110.815	0.25	0	1	1	2000	11	4	9.63	3.56	0	7	121	2.8	0.2	0.8	1.5		3
44.6335	-110.994	1.86	0	1	1	2000	14	28	51.5	12.79	0	16	53	4.5	0.25	0.7	1.5		3
44.7762	-111.084	-0.27	0	1	1	2000	15	0	4.97	8.81	0	7	126	2.9	0.17	0.9	1.9		3
44.7635	-111.075	-0.08	0	1	1	2000	18	52	39.98	7.71	0	5	117	4.5	0.12	1.1	1.9		3
44.7217	-110.623	1	0	1	1	2000	21	3	21.95	1.38	0	12	132	4.6	0.43	1.5	20.6		3
44.7968	-110.954	0.06	0	1	1	2000	21	23	38.72	7.9	0	9	202	6	0.25	1.2	2.2		3
37.197	-112.973	1.85	0	1	1	2000	21	46	15.75	16.37	1	7	158	44.4	0.14	0.8	1.6		3
39.4227	-111.877	1.11	0	1	2	2000	6	24	22.73	7.99	0	6	109	10.8	0.07	0.9	1.7		3
39.2798	-111.248	1.6	0	1	2	2000	14	50	28.81	8.87	1	7	116	25.4	0.14	0.9	1.4		3
44.7563	-111.142	0.21	0	1	2	2000	16	40	17.3	8.92	0	6	147	4.2	0.11	2.3	2.7		3
41.5095	-111.677	0.94	0	1	2	2000	21	20	59.62	12.25	0	9	138	14.2	0.16	0.9	2.4		3
44.79	-110.944	0.43	0	1	3	2000	9	42	19.46	8.69	0	10	178	6.1	0.26	1.2	2.6		3
44.8452	-111.08	0.16	0	1	3	2000	10	31	8.06	12.35	0	6	248	5.9	0.29	5	4.6		3
44.9242	-111.212	0.19	0	1	3	2000	14	3	46.76	11.89	0	6	292	16.5	0.25	11.1	7.3		3
44.7902	-110.943	0.38	0	1	3	2000	18	12	12.11	7.39	0	9	194	6.2	0.27	1.3	2.4		3
41.6553	-111.999	0.91	0	1	3	2000	18	23	5.84	5.33	0	9	92	6	0.26	1.1	2.9		3
44.7863	-110.933	0.14	0	1	3	2000	19	54	32.44	7.83	0	8	189	6.5	0.27	1.3	3.3		3
44.782	-110.945	1.33	0	1	3	2000	21	22	59.98	9.32	0	12	168	5.6	0.25	1	2.3		3
44.7807	-110.938	-0.23	0	1	3	2000	21	26	7.6	7.19	0	6	182	6	0.27	2.9	5.7		3
44.7905	-110.942	0.71	0	1	3	2000	21	29	52.69	8.66	0	9	179	6.2	0.25	1.4	3		3
40.4903	-111.336	0.51	0	1	3	2000	21	43	27.16	12.21	0	7	180	10.9	0.06	1	3.6		3
44.7868	-110.941	0.61	0	1	3	2000	23	12	32.5	8.11	0	10	175	6.1	0.28	1.3	2.7		3
39.292	-111.242	1.66	0	1	4	2000	1	8	1.42	8.88	1	7	115	25.8	0.2	1	1.6		3
39.4255	-111.121	1.82	0	1	4	2000	2	4	46.99	8.74	1	7	98	37.8	0.26	1	3.1		3
44.8858	-111.568	0.92	0	1	4	2000	3	30	24.38	0.59	1	8	302	32.4	0.44	21.1	24.7		3
44.6703	-111.006	0.99	0	1	4	2000	5	6	6.44	12.51	0	11	90	3.2	0.26	0.9	2.4		3
39.2947	-111.241	1.71	0	1	4	2000	6	0	39.08	9.1	1	10	76	25.8	0.18	0.7	1.5		3
44.9197	-111.612	0.93	0	1	4	2000	6	53	3.38	0.5	1	9	307	37.4	0.47	26.7	29.2		3
44.8832	-111.567	0.85	0	1	4	2000	10	7	45.09	0.51	1	8	303	32.1	0.44	20.8	23.7		3
44.8537	-111.085	0.23	0	1	4	2000	12	15	8.08	13.31	0	7	253	6.7	0.29	5.2	4.4		3
44.7908	-110.949	-0.04	0	1	4	2000	14	27	56.7	1.28	0	6	195	5.8	0.22	1.4	43.4		3
44.6658	-111.009	0.78	0	1	4	2000	14	35	20.84	13.62	0	11	91	3.5	0.26	1.2	2.7		3
39.2888	-111.248	1.52	0	1	4	2000	14	59	10.35	9.34	1	8	152	25.3	0.07	0.7	1.3		3
39.7388	-110.776	1.84	0	1	4	2000	16	14	3.11	1.94	0	9	183	9.1	0.2	1.2	25.7		3
39.2697	-111.252	1.69	0	1	5	2000	0	34	41.09	8.76	1	6	149	25.2	0.06	0.7	0.8		3
37.2173	-114.258	2.27	0	1	5	2000	0	53	59.08	5.58	1	6	297	30.6	0.16	15.2	4.4		3
39.2945	-111.243	1.61	0	1	5	2000	3	17	26.76	8.86	1	9	76	25.6	0.21	0.8	1.7		3
41.8793	-112.316	0.56	0	1	5	2000	4	35	34.6	3.8	0	6	126	5.6	0.08	0.6	2.1		3
41.611	-112.349	0.91	0	1	5	2000	11	54	28.79	4.54	0	9	106	8.8	0.14	0.9	3.1		3
40.6985	-111.563	0.53	0	1	5	2000	20	57	15.42	2.14	1	13	161	11.4	0.06	0.6	12.8		3
39.2947	-111.243	1.77	0	1	5	2000	22	8	19.61	9.15	1	8	115	25.6	0.21	0.9	1.6		3
39.2968	-111.244	1.85	0	1	6	2000	3	29	44.06	9.3	1	13	77	25.5	0.19	0.6	1.8		3
44.7882	-110.878	0.45	0	1	6	2000	5	58	14.24	5.29	0	10	135	2.2	0.43	1.7	2.2		3
44.7903	-110.755	0.63	0	1	6	2000	12	54	45.4	5.72	0	9	236	7.6	0.41	3.4	2		3
44.759	-110.782	1.31	0	1	6	2000	16	2	56.85	5.98	0	13	104	6.3	0.43	1.2	1.1		3
39.2748	-111.252	1.87	0	1	6	2000	17	20	40.97	9.11	1	7	149	25.1	0.1	0.8	1		3
39.2943	-111.242	1.48	0	1	6	2000	23	24	7.06	8.95	1	8	76	25.7	0.26	1	2.1		3
39.3032	-111.247	1.38	0	1	6	2000	23	35	15.99	8.93	1	8	86	25.2	0.17	0.7	1.7		3
39.3063	-111.235	1.48	0	1	7	2000	0	48	44.55	5.21	1	6	139	26.2	0.17	0.9	16.1		3
37.9562	-112.453	1.14	0	1	7	2000	2	7	55.82	0.82	1	8	121	50.5	0.18	0.8	14.5		3
37.9617	-112.459	1.24	0	1	7	2000	2	12	38.94	0.38	1	10	68	49.8	0.22	0.8	11.1		3
39.2955	-111.245	1.61	0	1	7	2000	5	44	29.96	9.24	1	12	77	25.5	0.19	0.6	1.3		3
44.7622	-110.411	1.46	0	1	7	2000	8	18	47.72	2.01	0	5	208	4.9	0.06	1.8	8.5		3
39.0968	-111.527	2.04	0	1	7	2000	9	52	12.45	0.77	1	14	77	13.9	0.26	0.7	3.9		3
44.2988	-110.453	1.43	0	1	7	2000	10	57	2.44	1.09	0	9	169	7.2	0.31	2.1	16.1		3
42.8972	-111.384	1.49	0	1	7	2000	21	41	45.48	0.92	1	8	166	27.4	0.31	2.4	3.2		3
39.9422	-111.978	1.06	0	1	7	2000	23	23	48.13	3.77	0	5	154	8.4	0.34	2.2	3.3		3
39.9033	-112.093	0.68	0	1	7	2000	23	24	6.81	25.15	0	5	166	6	0.23	2.8	1.1		3
37.3637	-112.877	1.5	0	1	7	2000	23	38	19.18	2.58	1	8	122	25.5	0.15	0.9	1.1		3
44.7673	-111.006	0.68	0	1	8	2000	12	57	58.76	8.1	0	7	115	0.9	0.1	1.2	0.8		3
44.7115	-111.014	0.31	0	1	8	2000	14	55	54.07	14.23	0	7	146	5.3	0.23	2	3.9		3
39.3022	-111.249	1.65	0	1	8	2000	20	23	34.43	11.82	1	10	77	25.1	0.15	0.6	1.3		3
39.2912	-111.246	1.5	0	1	8	2000	21	51	51.14	9.45	1	9	76	25.4	0.26	0.9	1.5		3
42.0768	-110.369	3.13	1	1	8	2000	22	43	37.79	12.8	1	15	257	72.7	0.22	3	1.2		3
44.4477	-110.595	1.65	0	1	9	2000	3	49	24.17	0.07	1	11	100	17.7	0.23	0.7	6.9		3
44.736	-111.153	1.21	0	1	9	2000	4	11	9.81	10.75	0	10	92	3.8	0.14	1.1	2.3		3
44.4605	-110.978	0.69	0	1	9	2000	12	50	11.22	6.13	0	9	123	11.2	0.13	1	1.2		3
39.2728	-111.259	1.68	0	1	10	2000	15	2	14.52	9.32	1	7	149	24.6	0.07	0.8	0.9		3
39.3727	-111.94	0.87	0	1	10	2000	19	20	53.61	13.47	0	6	94	18.4	0.18	0.8	3.7		3
39.4328	-111.136	1.88	0	1	10	2000	20	13	28.07	9.08	1	7	97	36.9	0.19	0.8	1.3		3
39.2692	-111.261	2.15	0	1	10	2000	22	11	32.28	9.75	1	9	147	24.6	0.1	0.6	0.7		3
39.306	-111.249	1.55	0	1	11	2000	2	6	14.69	9.79	1	10	113	25	0.23	0.9	1.8		3
40.4865	-111.35	0.32	0	1	11	2000	6	9	32.16	14.1	0	12	150	11.4	0.08	0.6	1.5		3
39.2952	-111.252	1.56	0	1	11	2000	6	35	14.87	9.52	1	9	115	24.9	0.21	0.9	1.2		3
44.5685	-111.781	1.44	0	1	11	2000	7	59	17.26	7	1	5	294	45.2	0.14	9.3	999.9		3
39.2882	-111.252	1.86	0	1	11	2000	14	54	43.48	9.62	1	8	116	25	0.24	0.8	1.4		3
39.3388	-111.943	0.99	0	1	11	2000	15	18	52.24	1.15	1	7	159	20.1	0.25	1.6	3.2		3
41.6678	-111.707	2.55	1	1	11	2000	15	38	30.83	0.61	1	26	58	13.6	0.25	0.5	3.1		3
44.8312	-110.978	0.22	0	1	11	2000	17	45	46.22	1.81	0	6	233	8.4	0.21	2	19.5		3
45.0205	-110.016	0.48	0	1	12	2000	1	4	48.7	7	1	5	347	62.3	0.69	535.3	999.9		3
39.2957	-111.247	1.48	0	1	12	2000	6	2	8.65	9.24	1	8	77	25.2	0.28	1	2.2		3
39.3168	-111.251	1.48	0	1	12	2000	6	35	19.53	11.25	1	7	112	24.8	0.16	0.7	1.5		3
44.7962	-111.014	0.21	0	1	12	2000	6	54	52.13	6.53	0	8	184	4.2	0.38	2.1	2.6		3
44.754	-111.18	1.69	0	1	12	2000	10	26	55.73	13.02	0	15	157	1.2	0.37	1.8	2.2		3
44.737	-111.148	0.31	0	1	12	2000	10	30	48.3	12.85	0	6	127	4	0.14	2.1	4.5		3
44.9272	-111.431	0.77	0	1	12	2000	10	41	43.47	16.42	0	8	320	27	0.37	25.7	4.9		3
44.9383	-111.448	0.75	0	1	12	2000	13	34	25.06	12.25	1	7	322	28.8	0.39	48.1	16.5		3
40.9977	-111.744	0.4	0	1	12	2000	14	51	12.45	4.45	1	6	117	24.8	0.05	0.5	9.4		3
44.726	-111.156	-0.05	0	1	13	2000	4	22	12.82	1.72	0	5	180	4.2	0.1	1.4	11.8		3
45.0127	-111.49	0.12	0	1	13	2000	4	51	27.2	6.11	1	7	311	37.2	0.34	999.9	999.9		3
39.2887	-111.223	1.71	0	1	13	2000	5	18	54.16	8.51	1	10	152	27.4	0.15	0.7	1.2		3
44.4042	-110.324	1.07	0	1	13	2000	9	54	38.29	0.3	1	6	200	12.8	0.05	1	4.9		3
