lon lat depth 0
-110.784 44.7515 5.87 0.408
-110.784 44.7518 5.6 0.318
-110.754 44.7887 5.96 0.128
-110.763 44.7703 1.55 0.042
-114.008 36.8893 2.71 0.49
-110.679 44.9207 3.61 -0.018
-110.78 44.7565 5.55 0.224
-110.815 44.7895 3.56 0.05
-110.994 44.6335 12.79 0.372
-111.084 44.7762 8.81 -0.054
-111.075 44.7635 7.71 -0.016
-110.623 44.7217 1.38 0.2
-110.954 44.7968 7.9 0.012
-112.973 37.197 16.37 0.37
-111.877 39.4227 7.99 0.222
-111.248 39.2798 8.87 0.32
-111.142 44.7563 8.92 0.042
-111.677 41.5095 12.25 0.188
-110.944 44.79 8.69 0.086
-111.08 44.8452 12.35 0.032
-111.212 44.9242 11.89 0.038
-110.943 44.7902 7.39 0.076
-111.999 41.6553 5.33 0.182
-110.933 44.7863 7.83 0.028
-110.945 44.782 9.32 0.266
-110.938 44.7807 7.19 -0.046
-110.942 44.7905 8.66 0.142
-111.336 40.4903 12.21 0.102
-110.941 44.7868 8.11 0.122
-111.242 39.292 8.88 0.332
-111.121 39.4255 8.74 0.364
-111.568 44.8858 0.59 0.184
-111.006 44.6703 12.51 0.198
-111.241 39.2947 9.1 0.342
-111.612 44.9197 0.5 0.186
-111.567 44.8832 0.51 0.17
-111.085 44.8537 13.31 0.046
-110.949 44.7908 1.28 -0.008
-111.009 44.6658 13.62 0.156
-111.248 39.2888 9.34 0.304
-110.776 39.7388 1.94 0.368
-111.252 39.2697 8.76 0.338
-114.258 37.2173 5.58 0.454
-111.243 39.2945 8.86 0.322
-112.316 41.8793 3.8 0.112
-112.349 41.611 4.54 0.182
-111.563 40.6985 2.14 0.106
-111.243 39.2947 9.15 0.354
-111.244 39.2968 9.3 0.37
-110.878 44.7882 5.29 0.09
-110.755 44.7903 5.72 0.126
-110.782 44.759 5.98 0.262
-111.252 39.2748 9.11 0.374
-111.242 39.2943 8.95 0.296
-111.247 39.3032 8.93 0.276
-111.235 39.3063 5.21 0.296
-112.453 37.9562 0.82 0.228
-112.459 37.9617 0.38 0.248
-111.245 39.2955 9.24 0.322
-110.411 44.7622 2.01 0.292
-111.527 39.0968 0.77 0.408
-110.453 44.2988 1.09 0.286
-111.384 42.8972 0.92 0.298
-111.978 39.9422 3.77 0.212
-112.093 39.9033 25.15 0.136
-112.877 37.3637 2.58 0.3
-111.006 44.7673 8.1 0.136
-111.014 44.7115 14.23 0.062
-111.249 39.3022 11.82 0.33
-111.246 39.2912 9.45 0.3
-110.369 42.0768 12.8 0.626
-110.595 44.4477 0.07 0.33
-111.153 44.736 10.75 0.242
-110.978 44.4605 6.13 0.138
-111.259 39.2728 9.32 0.336
-111.94 39.3727 13.47 0.174
-111.136 39.4328 9.08 0.376
-111.261 39.2692 9.75 0.43
-111.249 39.306 9.79 0.31
-111.35 40.4865 14.1 0.064
-111.252 39.2952 9.52 0.312
-111.781 44.5685 7 0.288
-111.252 39.2882 9.62 0.372
-111.943 39.3388 1.15 0.198
-111.707 41.6678 0.61 0.51
-110.978 44.8312 1.81 0.044
-110.016 45.0205 7 0.096
-111.247 39.2957 9.24 0.296
-111.251 39.3168 11.25 0.296
-111.014 44.7962 6.53 0.042
-111.18 44.754 13.02 0.338
-111.148 44.737 12.85 0.062
-111.431 44.9272 16.42 0.154
-111.448 44.9383 12.25 0.15
-111.744 40.9977 4.45 0.08
-111.156 44.726 1.72 -0.01
-111.49 45.0127 6.11 0.024
-111.223 39.2887 8.51 0.342
-110.324 44.4042 0.3 0.214
-111.342 44.8937 7.58 0.022
-110.993 44.7937 8.63 0.056
-111.454 44.9925 11.85 0.102
-111.252 39.3037 9.58 0.362
-111.174 44.7392 7.58 0.036
-111.43 44.9525 12.69 0.178
-111.236 44.7918 8.53 0.26
-111.888 39.4063 0.7 0.27
-110.699 44.5615 6.6 0.186
-111.503 45.0008 11.78 0.13
-111.179 44.7617 6.62 0.288
-111.387 44.8865 15.9 0.094
-111.408 45 0.84 0.112
-111.426 44.9622 7.5 0.072
