lat lon depth 0
44.7515 -110.784 5.87 0.1428
44.7518 -110.784 5.6 0.1113
44.7887 -110.754 5.96 0.0448
44.7703 -110.763 1.55 0.0147
36.8893 -114.008 2.71 0.1715
44.9207 -110.679 3.61 -0.0063
44.7565 -110.78 5.55 0.0784
44.7895 -110.815 3.56 0.0175
44.6335 -110.994 12.79 0.1302
44.7762 -111.084 8.81 -0.0189
44.7635 -111.075 7.71 -0.0056
44.7217 -110.623 1.38 0.07
44.7968 -110.954 7.9 0.0042
37.197 -112.973 16.37 0.1295
39.4227 -111.877 7.99 0.0777
39.2798 -111.248 8.87 0.112
44.7563 -111.142 8.92 0.0147
41.5095 -111.677 12.25 0.0658
44.79 -110.944 8.69 0.0301
44.8452 -111.08 12.35 0.0112
44.9242 -111.212 11.89 0.0133
44.7902 -110.943 7.39 0.0266
41.6553 -111.999 5.33 0.0637
44.7863 -110.933 7.83 0.0098
44.782 -110.945 9.32 0.0931
44.7807 -110.938 7.19 -0.0161
44.7905 -110.942 8.66 0.0497
40.4903 -111.336 12.21 0.0357
44.7868 -110.941 8.11 0.0427
39.292 -111.242 8.88 0.1162
39.4255 -111.121 8.74 0.1274
44.8858 -111.568 0.59 0.0644
44.6703 -111.006 12.51 0.0693
39.2947 -111.241 9.1 0.1197
44.9197 -111.612 0.5 0.0651
44.8832 -111.567 0.51 0.0595
44.8537 -111.085 13.31 0.0161
44.7908 -110.949 1.28 -0.0028
44.6658 -111.009 13.62 0.0546
39.2888 -111.248 9.34 0.1064
39.7388 -110.776 1.94 0.1288
39.2697 -111.252 8.76 0.1183
37.2173 -114.258 5.58 0.1589
39.2945 -111.243 8.86 0.1127
41.8793 -112.316 3.8 0.0392
41.611 -112.349 4.54 0.0637
40.6985 -111.563 2.14 0.0371
39.2947 -111.243 9.15 0.1239
39.2968 -111.244 9.3 0.1295
44.7882 -110.878 5.29 0.0315
44.7903 -110.755 5.72 0.0441
44.759 -110.782 5.98 0.0917
39.2748 -111.252 9.11 0.1309
39.2943 -111.242 8.95 0.1036
39.3032 -111.247 8.93 0.0966
39.3063 -111.235 5.21 0.1036
37.9562 -112.453 0.82 0.0798
37.9617 -112.459 0.38 0.0868
39.2955 -111.245 9.24 0.1127
44.7622 -110.411 2.01 0.1022
39.0968 -111.527 0.77 0.1428
44.2988 -110.453 1.09 0.1001
42.8972 -111.384 0.92 0.1043
39.9422 -111.978 3.77 0.0742
39.9033 -112.093 25.15 0.0476
37.3637 -112.877 2.58 0.105
44.7673 -111.006 8.1 0.0476
44.7115 -111.014 14.23 0.0217
39.3022 -111.249 11.82 0.1155
39.2912 -111.246 9.45 0.105
42.0768 -110.369 12.8 0.2191
44.4477 -110.595 0.07 0.1155
44.736 -111.153 10.75 0.0847
44.4605 -110.978 6.13 0.0483
39.2728 -111.259 9.32 0.1176
39.3727 -111.94 13.47 0.0609
39.4328 -111.136 9.08 0.1316
39.2692 -111.261 9.75 0.1505
39.306 -111.249 9.79 0.1085
40.4865 -111.35 14.1 0.0224
39.2952 -111.252 9.52 0.1092
44.5685 -111.781 7 0.1008
39.2882 -111.252 9.62 0.1302
39.3388 -111.943 1.15 0.0693
41.6678 -111.707 0.61 0.1785
44.8312 -110.978 1.81 0.0154
45.0205 -110.016 7 0.0336
39.2957 -111.247 9.24 0.1036
39.3168 -111.251 11.25 0.1036
44.7962 -111.014 6.53 0.0147
44.754 -111.18 13.02 0.1183
44.737 -111.148 12.85 0.0217
44.9272 -111.431 16.42 0.0539
44.9383 -111.448 12.25 0.0525
40.9977 -111.744 4.45 0.028
44.726 -111.156 1.72 -0.0035
45.0127 -111.49 6.11 0.0084
39.2887 -111.223 8.51 0.1197
44.4042 -110.324 0.3 0.0749
44.8937 -111.342 7.58 0.0077
44.7937 -110.993 8.63 0.0196
44.9925 -111.454 11.85 0.0357
39.3037 -111.252 9.58 0.1267
44.7392 -111.174 7.58 0.0126
44.9525 -111.43 12.69 0.0623
44.7918 -111.236 8.53 0.091
39.4063 -111.888 0.7 0.0945
44.5615 -110.699 6.6 0.0651
45.0008 -111.503 11.78 0.0455
44.7617 -111.179 6.62 0.1008
44.8865 -111.387 15.9 0.0329
45 -111.408 0.84 0.0392
44.9622 -111.426 7.5 0.0252
44.3862 -111.04 18.01 0.0693
44.8295 -111.293 9.33 0.0028
44.7482 -111.173 3.87 -0.0042
44.9817 -111.477 9 0.0609
44.8448 -111.299 7.8 0.0112
39.3005 -111.251 8.48 0.1246
44.855 -111.192 16.72 0.0301
44.8262 -111.177 15.82 0.0742
44.7552 -111.122 9.1 0.1078
44.7633 -111.135 10.08 0.1162
39.2995 -111.254 9.01 0.1211
44.8158 -111.159 14.41 0.0581
41.4728 -112.888 3.41 0.0938
44.8338 -111.189 12.75 0.0686
44.7548 -111.12 14.27 -0.0014
44.7657 -110.896 3.26 0.0728
44.7898 -110.639 1.43 -0.0154
39.2763 -111.266 10.14 0.133
39.317 -111.266 13.22 0.1337
40.5445 -111.531 2.41 0.063
44.795 -110.987 3.6 0.147
44.802 -110.988 2.79 0.133
44.806 -110.986 2.75 0.0763
39.418 -111.112 8.01 0.1617
44.884 -110.988 3.14 -0.007
39.2915 -111.223 9.84 0.1295
38.9633 -111.359 10.82 0.1141
39.4152 -111.109 7.74 0.1393
44.8097 -110.621 1.74 0.0469
45.0507 -111.304 14.33 0.0357
44.8347 -110.944 5.29 0.0077
44.8208 -110.966 1.46 0.0273
44.8377 -110.931 9.33 -0.0007
44.7883 -110.932 5.98 0.0385
38.967 -111.368 11.47 0.1211
39.4338 -111.519 13.09 0.0875
39.4547 -111.528 4.89 0.0553
39.26 -111.229 7.53 0.0791
41.4317 -112.928 4.65 0.0784
39.2937 -111.227 9.98 0.1344
38.2223 -112.323 7.1 0.0455
44.7807 -110.643 2 0.0476
44.6178 -110.724 6.43 0.0847
44.7787 -110.66 1.48 0.0973
44.7777 -110.663 1.75 0.0287
44.7902 -110.657 1.15 0.0749
44.7818 -110.659 3.96 0.0987
44.7805 -110.66 3.68 0.105
44.7832 -110.662 1.25 0.0658
44.7798 -110.661 3.69 0.084
44.7793 -110.66 1.25 0.0875
44.7787 -110.659 2.98 0.1218
44.7782 -110.662 1.67 0.1988
44.7797 -110.659 1.56 0.0448
44.7807 -110.66 1.65 0.1022
44.7832 -110.662 1.58 0.0882
44.7837 -110.661 2.84 0.0777
39.4133 -111.104 6.98 0.112
44.7852 -110.662 0.93 0.1155
41.4213 -112.965 4.08 0.105
39.2827 -111.223 8.43 0.1246
39.2923 -111.225 9.8 0.119
38.2252 -112.319 3.15 0.0868
44.8055 -110.647 3.16 0.0287
39.2883 -111.222 9.11 0.0987
41.42 -112.936 5.48 0.1008
39.2832 -111.221 8.56 0.0966
44.8803 -111.026 4.98 0.0056
41.4228 -112.93 6.47 0.0749
39.3905 -111.104 6.64 0.1085
44.8407 -111.306 8.1 0.0574
39.2903 -111.227 9.38 0.0994
39.4122 -111.1 7.9 0.1183
44.7183 -110.941 12.57 0.0301
44.8828 -111.014 9.68 0.0266
44.719 -110.939 12.7 0.0098
44.7197 -110.944 13.81 0.0301
44.8228 -111.159 2.95 -0.0196
38.9637 -111.354 2.42 0.1169
38.9603 -111.403 2.64 0.1323
39.445 -111.148 8.69 0.0994
36.8968 -112.902 9.85 0.1113
38.9623 -111.367 8.9 0.1113
37.7537 -112.571 0.61 0.1127
41.4238 -112.898 0.95 0.1799
39.3143 -111.259 12.1 0.1036
41.4282 -112.923 1.8 0.0952
38.9557 -111.403 6.8 0.119
44.7565 -110.964 5.67 0.0056
39.2893 -111.223 8.62 0.1064
44.7193 -111.083 7 0.0616
44.7167 -111.084 4.81 0.0504
44.726 -111.079 8.77 0.1099
44.7272 -111.062 8.02 0.0147
44.7263 -111.075 9 0.0336
44.7163 -111.088 4.81 0.0833
44.7197 -111.09 3.04 -0.6993
44.7158 -111.081 4.44 0.0791
44.724 -111.076 9.17 0.0105
44.7228 -111.073 9.21 0.0553
44.7258 -111.069 8.74 0.0336
44.7295 -111.087 8.15 0.0245
44.7197 -111.075 8.49 0.0126
44.719 -111.075 8.25 0.0007
44.732 -111.086 7.95 0.0287
44.7248 -111.078 13.07 0.0938
44.7285 -111.083 8.49 0.0385
44.7325 -111.084 8.41 0.0161
44.728 -111.083 8.46 0.0448
44.7243 -111.061 7.27 0.0371
44.725 -111.062 8.15 0.0035
44.728 -111.089 10.6 0.0245
44.7227 -111.07 8.53 0.0112
44.7275 -111.085 7.65 0.0917
44.7268 -111.081 9.11 0.0567
44.7257 -111.081 8.3 -0.6993
44.7275 -111.075 8.55 0.0308
44.7218 -111.082 8.47 0.098
44.7262 -111.081 7.67 0.0763
44.7233 -111.073 5.44 0.0056
44.7285 -111.075 7.58 0.0371
44.7248 -111.089 7.23 0.0938
44.7252 -111.068 6.6 0.0224
44.7287 -111.082 7.7 0.0301
44.7205 -111.086 5.58 0.1351
44.7217 -111.075 9.5 0.0532
44.7202 -111.088 5.79 0.1351
44.7177 -111.077 12.3 0.1183
44.7302 -111.086 8.95 0.0231
44.7278 -111.081 9.27 0.0889
44.7043 -111.064 1.34 0.0952
44.725 -111.077 9.68 0.0728
44.725 -111.074 10.79 0.007
44.7273 -111.089 8.51 0.0679
44.7283 -111.082 9.16 0.0644
44.7205 -111.081 5.57 0.1036
44.7282 -111.085 7.33 0.0987
44.7262 -111.078 7.76 0.091
44.7252 -111.084 7.76 0.0427
44.7193 -111.079 4.81 0.0749
44.7272 -111.069 7.94 0.0021
44.7235 -111.075 7.04 0.021
44.7247 -111.08 7.33 0.0959
44.7253 -111.076 8.81 0.07
44.7242 -111.073 7.78 0.0595
44.7287 -111.079 8.26 0.0091
44.7223 -111.084 9.27 -0.0154
44.7172 -111.086 10.1 0.0126
44.7233 -111.073 9.23 0.0175
44.7315 -111.094 9.97 0.007
44.7277 -111.087 7.89 0.0385
44.727 -111.083 10.48 0.0287
44.7198 -111.094 10.42 0.0189
44.7153 -111.092 3.24 0.0259
38.2283 -112.322 6.96 0.0518
44.7005 -110.981 6.51 0.0147
44.6887 -110.816 1.48 0.0147
39.2672 -111.225 8.26 0.1204
44.691 -110.97 3.39 0.0315
42.9542 -110.846 0.1 0.1134
38.9643 -111.359 6.97 0.1064
44.7453 -111.087 3.98 0.0658
44.747 -111.086 4.32 0.1015
38.9652 -111.362 3.08 0.1603
38.9572 -111.358 0.98 0.1155
44.7458 -111.088 6.93 -0.0154
44.6115 -111.194 10.31 0.0525
44.7913 -110.633 2.53 0.0371
39.2733 -111.222 7.75 0.1015
44.611 -111.135 5.86 0.1092
38.9607 -111.364 6.9 0.1071
38.2573 -112.68 0.06 0.133
44.7573 -110.949 4.17 0
44.7433 -111.088 3.47 0.0546
37.8838 -112.523 1.08 0.0924
39.2898 -111.224 8.37 0.0959
39.3742 -111.907 5.72 0.0693
41.5208 -109.776 6.99 0.2975
39.29 -111.22 8.45 0.1106
40.0953 -107.121 6.8 0.2611
44.7573 -111.091 3.68 0.0574
44.6528 -110.431 0.28 0.1617
44.6467 -110.437 1.14 0.1323
42.3678 -111.538 4.19 0.0756
39.2828 -111.222 8.02 0.1183
44.7397 -110.803 3.28 0.0616
44.7417 -110.802 3.5 0.035
44.743 -110.802 3.88 0.0665
44.7415 -110.801 4.2 0.0154
44.7447 -110.784 5.18 0.0154
42.6473 -111.085 0.54 -0.6993
44.7407 -110.803 3.55 0.0266
44.3073 -111.009 3.26 0.1099
38.7665 -112.538 1.29 0.0868
39.2867 -111.219 8.28 0.1036
44.8013 -111.028 1.45 0.0329
44.8038 -111.032 1.42 0.0483
44.6208 -111.074 3.73 0.0595
39.2782 -111.206 5.68 0.1008
39.2833 -111.207 6.12 0.1099
39.2868 -111.21 5.78 0.1085
38.9652 -111.341 1.38 0.1309
44.7328 -111.136 8.19 0.0721
44.7542 -110.777 3.68 0.0903
39.284 -111.209 7.27 0.1071
44.651 -110.435 2.03 0.0539
38.9648 -111.343 11.55 0.1386
39.2898 -111.21 5.73 0.1127
42.6875 -111.13 3.34 -0.6993
37.9788 -112.836 6.74 0.1421
43.9578 -110.177 5.27 0.1477
38.9625 -111.361 8.71 0.126
44.7713 -111.089 6.86 0.0623
44.7218 -111.061 8.5 0.0686
42.0068 -111.525 0.48 0.1393
44.7465 -111.105 10.11 0.0063
37.6902 -113.26 1.09 0.1232
39.2895 -111.207 6.37 0.1232
39.2938 -111.211 5.85 0.1204
42.8905 -111.38 1.93 -0.6993
40.2425 -111.892 6.87 0.084
39.2927 -111.209 5.97 0.1183
44.7503 -110.869 3.56 0.0392
39.2983 -111.21 6.71 0.1232
44.8145 -110.999 1.2 0.0903
44.764 -111.106 8.13 0.0392
44.6858 -109.919 5.66 0.0903
38.9618 -111.351 1.31 0.1218
39.2953 -111.206 6.99 0.1106
44.5707 -110.477 4.97 0.0931
41.5668 -112.24 9.16 0.0651
40.6412 -111.578 11.74 0.0889
39.2945 -111.215 7.3 0.1316
39.4133 -111.103 5.29 0.1351
44.7232 -111.087 11.43 0.0133
42.7528 -111.338 0.71 0.1183
41.9283 -112.563 3.93 0.0553
38.9675 -111.362 9.92 0.1267
44.6408 -111.024 1.3 0.0931
39.2863 -111.205 5.1 0.1274
42.762 -111.317 1.11 0.1414
39.4102 -111.104 5.25 0.1323
39.293 -111.208 2.36 0.1253
44.3207 -110.504 1.52 0.0574
39.259 -111.188 6.36 0.126
44.5197 -110.595 2.3 0.0784
39.2878 -111.208 2.43 0.1071
39.4192 -111.111 5.87 0.1519
37.7008 -113.255 0.06 0.1456
44.7572 -110.894 4.49 0.0658
39.411 -111.103 5.55 0.119
44.7513 -110.634 3.46 0.0693
44.7135 -110.711 2.32 0.07
44.7517 -110.657 2.73 0.0378
44.8198 -111 1.35 0.0469
39.4152 -111.105 4.96 0.1379
39.2868 -111.206 2.17 0.119
38.7333 -112.03 1.95 0.1435
38.732 -112.035 1.95 0.1582
39.292 -111.207 6.38 0.1232
44.6877 -110.406 0.79 0.1267
39.2902 -111.202 7.4 0.1232
39.2973 -111.197 1.81 0.1372
44.8162 -110.999 1.33 0.0196
39.2947 -111.207 2.22 0.1239
40.7555 -111.481 9.22 0.0077
40.7778 -111.472 6.44 0.0364
40.75 -111.482 8 0.0294
40.3623 -111.448 10.65 0.0028
44.8187 -111.001 0.61 0.0665
44.8223 -110.994 0.01 0.049
40.762 -111.469 8.83 0.0462
42.1028 -111.868 5.64 0.0644
37.731 -114.289 5.15 0.1379
38.6235 -111.812 0.6 0.0896
39.409 -111.103 5.21 0.112
38.9682 -111.356 0.31 0.1561
38.9618 -111.356 6.65 0.161
39.2807 -111.196 6.25 0.0987
39.2877 -111.204 7.24 0.1085
39.3435 -111.201 2.11 0.1323
39.4538 -111.223 4.25 0.1155
39.2912 -111.204 1.8 0.119
38.3787 -112.165 15.13 0.1316
39.2893 -111.204 1.86 0.0938
40.0963 -106.599 6.9 0.2751
39.2852 -111.205 1.9 0.0798
39.4533 -111.212 3.15 0.105
44.642 -111.292 7.13 0.0532
39.459 -111.23 7.82 0.1421
39.291 -111.21 7.19 0.1113
39.4063 -111.094 5.77 0.1316
39.4195 -111.104 6.14 0.1393
35.8817 -113.226 1.22 0.1827
39.2823 -111.207 5.51 0.1183
39.3843 -111.234 5.38 0.1106
39.7875 -110.846 6.66 0.1533
39.2872 -111.212 5.79 0.1274
39.2975 -111.206 5.77 0.1162
39.4527 -111.221 5.59 0.1288
37.788 -113.78 1.44 0.1519
39.4507 -111.226 7.28 0.1211
44.747 -110.894 6.51 0.0133
44.7902 -111.45 8.61 0.0504
39.4097 -111.101 6.18 0.1421
39.456 -111.225 3.22 0.1316
44.62 -110.34 1.07 0.1141
39.4553 -111.226 7.19 0.1267
44.6838 -110.993 2.18 0.049
39.424 -111.225 4.91 0.1148
44.6848 -110.998 2.13 0.0539
40.0905 -107.613 6.67 0.2786
39.4553 -111.223 7.47 0.1302
44.6863 -110.997 2.33 0.0574
39.4557 -111.222 2.07 0.1302
39.4545 -111.222 4.7 0.1211
39.453 -111.211 0.24 0.1106
38.9657 -111.357 9.71 0.1288
38.553 -112.294 5.9 0.0588
39.4548 -111.226 6.2 0.1281
39.4582 -111.222 5.63 0.1407
44.8067 -110.978 1.45 0.007
39.4545 -111.224 6.67 0.126
43.3232 -110.95 6.26 0.1561
38.9583 -111.356 7.13 0.1092
41.9292 -112.432 1.67 0.0714
40.619 -111.588 7.19 -0.0175
44.6843 -110.996 2.68 0.0854
42.7065 -111.644 2.73 0.0966
44.8177 -111 1.7 0.0119
44.8173 -110.996 0.97 0.0161
39.4557 -111.227 6.32 0.1267
38.9595 -111.356 8.74 0.1218
39.2843 -111.218 2.15 0.1449
39.2915 -111.213 5.84 0.1316
39.2908 -111.209 5.72 0.112
38.9625 -111.361 8.8 0.1344
39.2857 -111.206 5.22 0.0924
39.256 -111.183 6.22 0.098
44.711 -110.981 1.79 0.0189
38.9743 -111.353 6.37 0.1225
39.2948 -111.204 6.5 0.1197
39.2925 -111.213 5.89 0.1043
39.2905 -111.204 5.34 0.1127
39.762 -110.849 2.49 0.1344
39.4088 -111.103 5.68 0.1351
39.2977 -111.211 5.95 0.1099
39.9648 -111.979 4.12 0.091
37.4292 -113.813 12.96 0.1365
39.2883 -111.201 1.83 0.1022
39.2978 -111.202 1.89 0.14
39.2942 -111.201 1.86 0.0854
40.418 -111.455 0.73 0.1155
41.8598 -112.712 9.29 0.0987
39.4563 -111.223 3.51 0.1162
39.301 -111.194 1.87 0.1232
38.9585 -111.358 6.88 0.126
39.2953 -111.205 1.88 0.1085
39.3012 -111.203 1.8 0.1106
39.4152 -111.109 6.12 0.1533
42.6477 -111.272 1.72 0.1225
39.2897 -111.204 4.93 0.1232
39.2778 -111.204 5.25 0.1183
44.7413 -110.788 3.32 0.007
39.28 -111.208 6.16 0.1155
39.2833 -111.2 5.6 0.1176
39.4608 -111.216 3.69 0.1169
39.766 -110.844 0.03 0.1862
37.8468 -112.922 4.17 0.098
39.3182 -111.211 8.92 0.1225
39.2932 -111.211 6.03 0.1211
44.6327 -111.081 7.3 0.0182
38.9647 -111.358 10.14 0.1246
38.5548 -112.295 5.31 0.1484
38.9577 -111.356 0.86 0.1253
39.282 -111.204 5.55 0.1218
44.4493 -110.811 0 0.0847
40.3547 -111.366 2.92 0.0721
38.2435 -111.329 1.2 0.1414
37.5823 -112.291 1.69 0.126
38.955 -111.354 7.76 0.1064
41.5423 -112.256 9.29 0.0581
44.781 -111.297 13.74 0.0035
44.6492 -110.432 1.27 0.1358
44.649 -110.434 4.49 0.084
44.6475 -110.425 0.46 0.0434
39.2953 -111.209 6.73 0.1127
39.2977 -111.204 1.84 0.1386
44.7015 -111.005 5.59 0.0014
39.291 -111.206 6.44 0.1064
43.2137 -110.756 2.16 0.1155
39.2747 -111.201 6.42 0.1078
44.79 -110.94 2.46 0.1162
39.2908 -111.205 5.4 0.1134
39.2922 -111.204 5.53 0.1393
